2026-01-30 22:18:28  bot         INFO     🚀  Starting Alpaca Crypto Bot
2026-01-30 22:18:28  bot         INFO        Symbols: BTC/USD, ETH/USD
2026-01-30 22:18:28  bot         INFO        Poll interval: 60s
2026-01-30 23:53:45  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 23:54:53  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 23:54:53  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 23:56:01  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 23:56:01  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 23:57:09  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 23:57:09  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 23:58:17  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 23:58:17  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 23:59:25  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 23:59:25  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:00:33  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:00:33  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:01:42  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:01:42  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:02:50  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:02:50  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:03:58  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:03:58  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:05:06  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:05:06  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:06:14  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:06:14  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:07:22  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:07:22  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:08:30  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:08:30  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:09:38  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:09:38  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:10:47  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:10:47  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:11:55  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:11:55  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-31 00:13:03  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-31 00:13:03  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
